aro,norm_feature,present_feature,public_present_n,median_norm_when_present,mean_norm_when_present
qacL,qacL__norm,qacL__present,41,10.34711742401123,10.310909364281631
rmtB,rmtB__norm,rmtB__present,29,13.090394973754885,13.091880568142596
rmtD,rmtD__norm,rmtD__present,7,13.30807113647461,13.296930585588727
rmtF,rmtF__norm,rmtF__present,14,13.213351249694824,13.214189188820976
rsmA,rsmA__norm,rsmA__present,2698,12.12326717376709,12.123521964580064
sul1,sul1__norm,sul1__present,549,10.2208890914917,10.220446143645406
tet(A),tet(A)__norm,tet(A)__present,120,9.524347305297852,9.519064092636109
tet(C),tet(C)__norm,tet(C)__present,32,10.127779960632324,9.93688651919365
vanH gene in vanB cluster,vanH gene in vanB cluster__norm,vanH gene in vanB cluster__present,2496,11.220184326171877,11.221473904374319
vanT gene in vanG cluster,vanT gene in vanG cluster__norm,vanT gene in vanG cluster__present,360,11.089369773864746,11.072739524311489
vanW gene in vanG cluster,vanW gene in vanG cluster__norm,vanW gene in vanG cluster__present,2694,11.608899116516112,11.610520247804207
